date,q_total,q_market,q_mining,q_nonmining_market,q_pubadm,q_edu,q_health,q_dwellings
2019-12-01,572106.0,415905.0,77286.0,338619.0,29962.0,28404.0,43739.0,54096.0
2020-03-01,569987.0,412694.0,76846.0,335848.0,30610.0,28592.0,43743.0,54348.0
2020-06-01,535767.0,381499.0,76939.0,304560.0,30748.0,28838.0,40121.0,54561.0
2020-09-01,553906.0,395072.0,75436.0,319636.0,31098.0,29051.0,43934.0,54751.0
2020-12-01,570532.0,409653.0,75114.0,334539.0,31364.0,29308.0,45270.0,54937.0
2021-03-01,579016.0,417308.0,74869.0,342439.0,31213.0,29532.0,45844.0,55119.0
2021-06-01,586658.0,423217.0,74221.0,348996.0,31388.0,29726.0,47032.0,55295.0
2021-09-01,578261.0,415280.0,73666.0,341614.0,31827.0,29665.0,46018.0,55471.0
2021-12-01,596988.0,430485.0,72234.0,358251.0,32471.0,29664.0,48662.0,55706.0
2022-03-01,600975.0,434034.0,73122.0,360912.0,32593.0,29771.0,48564.0,56013.0
2022-06-01,608020.0,439208.0,72452.0,366756.0,32428.0,29979.0,50011.0,56394.0
2022-09-01,612459.0,442438.0,73325.0,369113.0,32284.0,30386.0,50492.0,56859.0
2022-12-01,616045.0,444967.0,73432.0,371535.0,32817.0,30498.0,50508.0,57255.0
2023-03-01,620363.0,448029.0,72348.0,375681.0,33147.0,30575.0,51038.0,57574.0
2023-06-01,624149.0,450853.0,72749.0,378104.0,33419.0,30623.0,51438.0,57816.0
2023-09-01,625753.0,450347.0,72744.0,377603.0,33938.0,30725.0,52765.0,57978.0
2023-12-01,627428.0,451244.0,73476.0,377768.0,34373.0,30868.0,52779.0,58164.0
2024-03-01,628248.0,451060.0,73528.0,377532.0,34721.0,30965.0,53142.0,58360.0
2024-06-01,629923.0,452346.0,72964.0,379382.0,34911.0,31017.0,53080.0,58569.0
2024-09-01,631099.0,451837.0,72602.0,379235.0,35372.0,30993.0,54112.0,58785.0
2024-12-01,633268.0,453038.0,72043.0,380995.0,35709.0,31076.0,54442.0,59003.0
2025-03-01,635553.0,454715.0,71341.0,383374.0,35721.0,31192.0,54703.0,59222.0
2025-06-01,640910.0,458928.0,73878.0,385050.0,35859.0,31342.0,55336.0,59445.0
2025-09-01,643467.0,460560.0,72861.0,387699.0,35988.0,31519.0,55732.0,59668.0
2025-12-01,648691.0,465279.0,74721.0,390558.0,36060.0,31662.0,55802.0,59888.0
